Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve boat tour,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve boat tours,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve boat trip,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve boat trips,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve boat excursion,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve boat excursions,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tour algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tours algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat trip algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat trips algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tour portimão,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tours portimão,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat trip portimão,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tour portimao,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tours portimao,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tour lagoa,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tour carvoeiro,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tour albufeira,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tour lagos,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,best boat tour algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,best boat tours algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve coast tour,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve coast boat,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve sightseeing boat,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve sea tour,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve sea trip,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve boat tour,Phrase match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tour algarve,Phrase match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,boat tour portimão,Phrase match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve coast boat,Phrase match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — EN,algarve sightseeing boat,Phrase match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio de barco algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeios de barco algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio barco algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeios barco algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio de barco portimão,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeios de barco portimão,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio barco portimao,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeios barco portimao,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio de barco lagoa,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio de barco carvoeiro,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio de barco albufeira,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio de barco lagos,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio costa algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio mar algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,melhor passeio barco algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio barco algarve,Phrase match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio barco portimão,Phrase match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — PT,passeio costa algarve,Phrase match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,paseo en barco algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,paseos en barco algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,paseo barco algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,paseo en barco portimao,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,paseo en barco portimão,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,paseo en barco lagoa,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,paseo en barco lagos,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,paseo en barco albufeira,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,excursion barco algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,excursión barco algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,mejor paseo barco algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,costa algarve barco,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,paseo en barco algarve,Phrase match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,paseo barco portimão,Phrase match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — ES,excursion barco algarve,Phrase match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,excursion bateau algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,excursions bateau algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,tour bateau algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,balade bateau algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,excursion bateau portimao,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,excursion bateau portimão,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,excursion bateau lagoa,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,excursion bateau lagos,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,excursion bateau albufeira,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,meilleure excursion bateau algarve,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,côte algarve bateau,Exact match
Keyword,Add,Enabled,NB — Algarve Generic,ALGARVE — FR,bateau algarve,Exact match
