Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,algarve experience,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,algarve experience tours,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,algarve experience portimão,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,algarve experience portimao,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,algarve experience boat,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,dreamwave,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,dreamwave algarve,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,dreamwave portimão,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,dreamwave portimao,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,dreamwave boat tours,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,dreamwave benagil,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,xride,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,xride algarve,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,xride portimão,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,xride portimao,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,xride benagil,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,xride boat,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,algarve discovery,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,algarve discovery tours,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,algarve discovery portimão,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,algarve discovery boat,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,royal nautic,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,royal nautic algarve,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,royal nautic portimão,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,royal nautic portimao,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,royal nautic boat,Exact match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,dreamwave algarve,Phrase match
Keyword,Add,Enabled,BRAND — Competitors,COMPETITORS — EN,dreamwave benagil,Phrase match
