Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private yacht algarve,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private yacht charter algarve,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private yacht portimão,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private yacht portimao,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private yacht hire algarve,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private yacht rental algarve,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private boat algarve,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private boat charter algarve,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private boat portimão,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private boat portimao,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private boat to benagil,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private boat to benagil cave,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private benagil tour,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,private benagil cave tour,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,luxury yacht algarve,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,luxury yacht portimão,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,luxury boat algarve,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,luxury boat tour algarve,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,yacht charter algarve,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,yacht charter portimão,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,yacht charter portimao,Exact match
Keyword,Add,Enabled,NB — Cranchi Yacht,CRANCHI — EN,yacht hire algarve,Exact match
