Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sail yacht algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sail yacht charter algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sail yacht portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sail yacht portimao,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing yacht algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing yacht portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing yacht charter algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing charter algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing charter portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing trip algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing trip portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing tour algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing tour portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing experience algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,private sailing algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,private sailing portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,private sailing trip algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,private sail boat algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,private sail boat portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sail boat charter algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sail boat hire algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sail boat rental algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,luxury sailing algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,luxury sailing portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,luxury sail yacht algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,romantic sailing algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sunset sailing algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sunset sail yacht algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,half day sailing algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,full day sailing algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sail yacht algarve,Phrase match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing yacht algarve,Phrase match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,private sailing algarve,Phrase match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,sailing trip algarve,Phrase match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — EN,luxury sailing algarve,Phrase match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,iate a vela algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,iate a vela portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,iate a vela portimao,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,veleiro algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,veleiro portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,veleiro privado algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,passeio veleiro algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,passeio veleiro portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,passeio vela algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,charter vela algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,charter veleiro algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,aluguer veleiro algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,aluguer iate vela algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,passeio velejar algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,velejar algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,velejar portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,iate vela luxo algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,meio dia veleiro algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,dia inteiro veleiro algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,iate a vela algarve,Phrase match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,veleiro algarve,Phrase match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,passeio veleiro algarve,Phrase match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — PT,velejar portimão,Phrase match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — ES,velero algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — ES,velero portimao,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — ES,velero portimão,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — ES,velero privado algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — ES,paseo en velero algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — ES,paseo en velero portimao,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — ES,charter velero algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — ES,alquiler velero algarve,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — ES,alquiler velero portimao,Exact match
Keyword,Add,Enabled,NB — Sail Yacht,SAIL — ES,yate de vela algarve,Exact match
