=== sc-domain:atlantistours.pt  2025-11-16 → 2026-05-15  type=web  dims=country ===

country  clicks  impressions  ctr    position
-------  ------  -----------  -----  --------
prt      1819    26114        7.0%   12.1    
usa      309     7512         4.1%   25.0    
fra      164     5053         3.2%   8.8     
esp      209     4223         4.9%   11.9    
deu      99      3050         3.2%   6.5     
gbr      193     2482         7.8%   15.9    
can      203     1320         15.4%  9.1     
nld      87      905          9.6%   10.3    
bra      32      874          3.7%   11.1    
ita      48      609          7.9%   11.0    
bel      42      511          8.2%   8.5     
irl      21      436          4.8%   8.1     
aus      15      233          6.4%   12.2    
pol      30      215          14.0%  6.8     
che      18      209          8.6%   6.2     
aut      14      132          10.6%  6.2     
mys      12      101          11.9%  8.2     
dnk      9       83           10.8%  7.2     
cze      9       78           11.5%  7.6     
arg      12      77           15.6%  9.6     

rows=20   Σclicks=3345   Σimpressions=54217
