=== Top page — sc-domain:atlantistours.pt  2026-02-15 → 2026-05-15 (final data) ===

page                                                                                     clicks  impressions  ctr    position
---------------------------------------------------------------------------------------  ------  -----------  -----  --------
http://atlantistours.pt/en/                                                              1203    19376        6.2%   7.2     
https://www.atlantistours.pt/                                                            638     8446         7.6%   12.6    
https://www.atlantistours.pt/en/                                                         246     5239         4.7%   16.3    
https://www.atlantistours.pt/pt/                                                         81      1048         7.7%   2.8     
https://www.atlantistours.pt/fr/                                                         35      402          8.7%   3.7     
https://www.atlantistours.pt/en/tours/benagil                                            34      3650         0.9%   11.2    
https://www.atlantistours.pt/es/                                                         18      184          9.8%   3.3     
https://www.atlantistours.pt/en/tours/rio-arade-silves                                   15      695          2.2%   15.1    
https://www.atlantistours.pt/pt                                                          14      1671         0.8%   2.9     
https://www.atlantistours.pt/en/tours/benagil-caves-speed-boat-tour/                     11      1110         1.0%   20.4    
https://www.atlantistours.pt/en/about                                                    10      2485         0.4%   2.8     
https://www.atlantistours.pt/en/blog/benagil-cave-tour-complete-guide/                   9       1040         0.9%   7.3     
https://www.atlantistours.pt/en/terms                                                    7       241          2.9%   4.5     
https://www.atlantistours.pt/pt/about                                                    7       592          1.2%   3.3     
https://www.atlantistours.pt/en/contact/                                                 6       356          1.7%   3.3     
https://www.atlantistours.pt/en/reviews/                                                 6       156          3.8%   5.9     
https://www.atlantistours.pt/pt/tours/benagil                                            6       1640         0.4%   14.7    
https://www.atlantistours.pt/pt/tours/rio-arade-silves                                   6       675          0.9%   7.4     
https://www.atlantistours.pt/en/contact                                                  5       1142         0.4%   3.1     
https://www.atlantistours.pt/en/tours/reef-fishing-tour/                                 5       86           5.8%   6.3     
https://www.atlantistours.pt/en/tours/yacht                                              5       280          1.8%   6.7     
https://www.atlantistours.pt/en/blog/best-time-visit-algarve-boat-tours/                 4       444          0.9%   6.3     
https://www.atlantistours.pt/en/blog/reef-fishing-portimao-half-day-guide/               4       116          3.4%   8.1     
https://www.atlantistours.pt/en/terms/                                                   4       29           13.8%  5.0     
https://www.atlantistours.pt/en/tours/                                                   4       462          0.9%   3.4     
https://www.atlantistours.pt/es/blog/que-llevar-tour-barco-algarve/                      4       22           18.2%  5.5     
https://www.atlantistours.pt/es/blog/vida-marina-algarve-guia-observacion/               4       64           6.2%   6.8     
https://www.atlantistours.pt/pt/blog/algarve-na-primavera-segredo-bem-guardado/          4       95           4.2%   7.1     
https://www.atlantistours.pt/pt/terms/                                                   4       38           10.5%  5.5     
https://www.atlantistours.pt/en/blog/algarve-in-spring-best-kept-secret/                 3       176          1.7%   7.1     
https://www.atlantistours.pt/en/blog/best-time-visit-benagil-caves/                      3       423          0.7%   4.4     
https://www.atlantistours.pt/en/blog/reef-fishing-algarve-what-to-expect/                3       185          1.6%   8.1     
https://www.atlantistours.pt/en/tours/benagil-private                                    3       484          0.6%   3.4     
https://www.atlantistours.pt/en/tours/cranchi-yacht-cruise-to-the-benagil-caves/         3       39           7.7%   7.5     
https://www.atlantistours.pt/en/tours/luxury-sail-yacht-cruise/                          3       46           6.5%   5.7     
https://www.atlantistours.pt/es/blog/avistamiento-delfines-algarve-especies-temporadas/  3       158          1.9%   12.8    
https://www.atlantistours.pt/es/blog/guia-completo-cueva-benagil/                        3       220          1.4%   8.3     
https://www.atlantistours.pt/fr/blog/algarve-printemps-secret-bien-garde/                3       110          2.7%   8.3     
https://www.atlantistours.pt/fr/blog/cuisine-cotiere-portugaise-algarve/                 3       260          1.2%   8.0     
https://www.atlantistours.pt/fr/blog/peche-recif-portimao-demi-journee/                  3       31           9.7%   7.9     
https://www.atlantistours.pt/fr/blog/traditions-peche-cote-algarve/                      3       116          2.6%   6.8     
https://www.atlantistours.pt/fr/contact/                                                 3       126          2.4%   8.8     
https://www.atlantistours.pt/pt/contact/                                                 3       382          0.8%   5.9     
https://www.atlantistours.pt/pt/reviews/                                                 3       179          1.7%   8.2     
https://www.atlantistours.pt/en/blog/dolphin-watching-algarve-species-seasons/           2       279          0.7%   4.7     
https://www.atlantistours.pt/en/blog/fishing-traditions-algarve-coast/                   2       91           2.2%   10.7    
https://www.atlantistours.pt/en/tours/boats/                                             2       162          1.2%   2.9     
https://www.atlantistours.pt/en/tours/paradise                                           2       484          0.4%   5.0     
https://www.atlantistours.pt/es/blog/benagil-vs-otras-cuevas-marinas-algarve/            2       14           14.3%  10.4    
https://www.atlantistours.pt/fr/blog/guide-complet-grotte-benagil/                       2       115          1.7%   5.6     
https://www.atlantistours.pt/fr/blog/que-prendre-sortie-bateau-algarve/                  2       5            40.0%  7.4     
https://www.atlantistours.pt/fr/tours/                                                   2       177          1.1%   7.2     
https://www.atlantistours.pt/pt/about/                                                   2       443          0.5%   7.2     
https://www.atlantistours.pt/pt/blog/guia-completo-gruta-benagil/                        2       145          1.4%   8.2     
https://www.atlantistours.pt/pt/blog/melhor-altura-visitar-grutas-benagil/               2       91           2.2%   5.8     
https://www.atlantistours.pt/pt/blog/pesca-de-fundo-portimao-meio-dia/                   2       138          1.4%   8.2     
