=== Top query — sc-domain:atlantistours.pt  2025-11-16 → 2026-05-15 (final data) ===

query                                                                                                                                                                                                         clicks  impressions  ctr     position
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ------  -----------  ------  --------
atlantis tours                                                                                                                                                                                                1110    5223         21.3%   2.0     
atlantis tours portimao                                                                                                                                                                                       537     1128         47.6%   1.1     
atlantis tour                                                                                                                                                                                                 93      813          11.4%   6.5     
atlantis tours algarve                                                                                                                                                                                        81      161          50.3%   1.4     
atlantic tours                                                                                                                                                                                                63      294          21.4%   3.9     
atlantis tours benagil                                                                                                                                                                                        53      101          52.5%   1.1     
atlantis tour portimao                                                                                                                                                                                        43      126          34.1%   2.8     
atlantis tours portugal                                                                                                                                                                                       41      88           46.6%   1.0     
atlantis tours mare nostrum                                                                                                                                                                                   24      40           60.0%   1.7     
atlantis tours portimão                                                                                                                                                                                       13      42           31.0%   1.0     
p4yservices                                                                                                                                                                                                   12      84           14.3%   3.3     
portimao boat tours                                                                                                                                                                                           9       158          5.7%    9.6     
portimao                                                                                                                                                                                                      8       43           18.6%   1.1     
atlantis tours reviews                                                                                                                                                                                        6       142          4.2%    6.4     
boat tour portimao                                                                                                                                                                                            6       53           11.3%   5.9     
mare nostrum portimao                                                                                                                                                                                         6       24           25.0%   1.4     
ac. porto comercial de portimão, 8500-512 portimão, portugal                                                                                                                                                  5       95           5.3%    4.7     
atlantis boat tour                                                                                                                                                                                            5       38           13.2%   5.8     
benagil cave tour                                                                                                                                                                                             5       458          1.1%    34.1    
bootstour portimao                                                                                                                                                                                            5       1937         0.3%    4.8     
portimao bootstour                                                                                                                                                                                            3       82           3.7%    3.5     
atlantic tour                                                                                                                                                                                                 2       180          1.1%    9.0     
atlantis turs                                                                                                                                                                                                 2       8            25.0%   4.1     
atlantistours                                                                                                                                                                                                 2       9            22.2%   2.6     
boat tour algarve                                                                                                                                                                                             2       58           3.4%    31.6    
boat tours portimao                                                                                                                                                                                           2       38           5.3%    7.7     
boat trip portimao                                                                                                                                                                                            2       91           2.2%    16.2    
boat trips portimao                                                                                                                                                                                           2       76           2.6%    17.6    
excursões algarve                                                                                                                                                                                             2       174          1.1%    3.4     
paseo en barco portimao                                                                                                                                                                                       2       378          0.5%    12.5    
portimao boat tour                                                                                                                                                                                            2       76           2.6%    7.4     
portimao what to see                                                                                                                                                                                          2       10           20.0%   7.5     
silves river cruise                                                                                                                                                                                           2       21           9.5%    6.4     
agence de voyage portugal algarve                                                                                                                                                                             1       43           2.3%    5.0     
algarve bootstour grotten                                                                                                                                                                                     1       1            100.0%  1.0     
algarve discovery                                                                                                                                                                                             1       21           4.8%    26.8    
algarve portugal                                                                                                                                                                                              1       3            33.3%   1.0     
algarve private boat tour                                                                                                                                                                                     1       5            20.0%   19.0    
algarve tour                                                                                                                                                                                                  1       60           1.7%    20.1    
algarve tours                                                                                                                                                                                                 1       692          0.1%    39.4    
arade                                                                                                                                                                                                         1       282          0.4%    10.1    
arade river                                                                                                                                                                                                   1       55           1.8%    12.0    
armação de pêra                                                                                                                                                                                               1       1            100.0%  1.0     
atlantic boat tour                                                                                                                                                                                            1       5            20.0%   6.0     
atlantic tours and travel                                                                                                                                                                                     1       3            33.3%   3.0     
atlantik tours                                                                                                                                                                                                1       3            33.3%   4.0     
atlantis                                                                                                                                                                                                      1       698          0.1%    12.0    
atlantis portugal                                                                                                                                                                                             1       455          0.2%    6.4     
atlantis tur                                                                                                                                                                                                  1       14           7.1%    7.3     
bateau portimao                                                                                                                                                                                               1       1690         0.1%    6.2     
benagil boat                                                                                                                                                                                                  1       7            14.3%   44.9    
benagil boat tour                                                                                                                                                                                             1       53           1.9%    28.6    
benagil cave boat tour portimao                                                                                                                                                                               1       2            50.0%   10.0    
benagil cave tour from portimão                                                                                                                                                                               1       50           2.0%    28.1    
benagil cave tour portimao                                                                                                                                                                                    1       9            11.1%   10.6    
benagil cave tours                                                                                                                                                                                            1       84           1.2%    19.9    
benagil tour portimao                                                                                                                                                                                         1       44           2.3%    15.4    
best time to see dolphins in algarve                                                                                                                                                                          1       33           3.0%    8.5     
best time to visit benagil caves                                                                                                                                                                              1       13           7.7%    16.8    
boat tour benagil                                                                                                                                                                                             1       2            50.0%   12.0    
boat trip algarve                                                                                                                                                                                             1       19           5.3%    49.6    
boat trips portimao portugal                                                                                                                                                                                  1       51           2.0%    25.8    
boottocht benagil grotten                                                                                                                                                                                     1       1            100.0%  3.0     
cave boat tours near me                                                                                                                                                                                       1       10           10.0%   11.2    
clubs in portimao                                                                                                                                                                                             1       1            100.0%  1.0     
ferragudo portugal carte                                                                                                                                                                                      1       1            100.0%  1.0     
ferragudo town                                                                                                                                                                                                1       1            100.0%  1.0     
in april                                                                                                                                                                                                      1       1            100.0%  22.0    
lagos portugal                                                                                                                                                                                                1       4            25.0%   1.0     
onde nasce o rio arade                                                                                                                                                                                        1       215          0.5%    10.9    
passeio de barco portimao                                                                                                                                                                                     1       25           4.0%    10.0    
peixes do algarve                                                                                                                                                                                             1       4            25.0%   11.2    
portimao algarve                                                                                                                                                                                              1       3            33.3%   1.3     
portimao benagil                                                                                                                                                                                              1       47           2.1%    10.1    
portimao boat trips                                                                                                                                                                                           1       136          0.7%    15.6    
portimao dolphin tour                                                                                                                                                                                         1       5            20.0%   6.8     
portimao dolphin watching                                                                                                                                                                                     1       52           1.9%    12.0    
portimao excursions                                                                                                                                                                                           1       34           2.9%    3.3     
portimao portugal                                                                                                                                                                                             1       5            20.0%   1.0     
portimão                                                                                                                                                                                                      1       4            25.0%   1.5     
portimão boat trips                                                                                                                                                                                           1       1            100.0%  2.0     
praia gale                                                                                                                                                                                                    1       1            100.0%  1.0     
praia portimao                                                                                                                                                                                                1       1            100.0%  1.0     
rio em silves                                                                                                                                                                                                 1       38           2.6%    8.9     
rr hotel da rocha                                                                                                                                                                                             1       1            100.0%  1.0     
tour benagil                                                                                                                                                                                                  1       88           1.1%    23.7    
tour privado algarve                                                                                                                                                                                          1       75           1.3%    7.6     
water taxi portimao                                                                                                                                                                                           1       2            50.0%   1.5     
zoomarine algarve dolphin experience                                                                                                                                                                          1       1            100.0%  4.0     
