Row Type,Action,Keyword status,Level,Campaign,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,benagil,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,benagi,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,private yacht,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,private boat,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,yacht,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,charter,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,sail yacht,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,sailing,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,fishing,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,fishing tour,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,deep sea fishing,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,reef fishing,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,sunset,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,sunset cruise,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,sunset tour,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,dolphin,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,dolphin watching,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,whale watching,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,cranchi,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Algarve Generic,luxury,Broad match
