Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,passeio grutas benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,passeio gruta benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,passeio de barco benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,passeios benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,grutas benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,gruta benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,grutas de benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,gruta de benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,circuito grutas benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,passeio grutas portimão,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,passeio grutas portimao,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,passeio barco portimão,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,barco para benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,visita gruta benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,visitar grutas benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,como chegar benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,como ir grutas benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,grutas benagil,Phrase match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,passeio benagil,Phrase match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,barco benagil,Phrase match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — PT,visitar benagil,Phrase match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,cuevas de benagil tour,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,cueva de benagil tour,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,tour cuevas benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,tour cueva benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,paseo en barco benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,paseo barco cuevas benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,barco a benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,barco cuevas benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,cuevas benagil portimao,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,cuevas benagil desde portimao,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,visitar cuevas benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,visitar cueva benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,como llegar benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,como llegar a las cuevas de benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,cuevas de benagil,Phrase match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,cueva benagil,Phrase match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,tour benagil,Phrase match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — ES,barco benagil,Phrase match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,grottes de benagil tour,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,grotte de benagil tour,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,tour grottes benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,excursion grottes benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,bateau grottes benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,bateau benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,bateau pour benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,grottes benagil portimao,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,grottes benagil depuis portimao,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,visiter grottes benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,visiter benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,comment aller benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,comment visiter benagil,Exact match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,grottes de benagil,Phrase match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,grotte benagil,Phrase match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,bateau benagil,Phrase match
Keyword,Add,Enabled,23794920849,NB - Benagil Cave Tour,BENAGIL — FR,visiter benagil,Phrase match
