Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - PT,atlantis tours portimao,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - PT,atlantis tours portimão,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - PT,atlantis tours algarve,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - PT,atlantis passeios,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - PT,atlantis passeios barco,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - PT,passeios atlantis,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - PT,atlantis grutas,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - PT,atlantis grutas benagil,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - PT,atlantistours,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - PT,atlantis passeios,Phrase match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - PT,atlantis grutas,Phrase match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - ES,atlantis tours portimao,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - ES,atlantis tours algarve,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - ES,atlantis paseos en barco,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - ES,atlantis cuevas benagil,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - ES,atlantis grutas benagil,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - ES,atlantistours,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - ES,atlantis paseos,Phrase match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - FR,atlantis tours portimao,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - FR,atlantis tours algarve,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - FR,atlantis bateau,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - FR,atlantis bateau portimao,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - FR,atlantis grottes benagil,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - FR,atlantistours,Exact match
Keyword,Add,Enabled,Brand Atlantis Tours,BRAND - FR,atlantis bateau,Phrase match
