Row Type,Action,Keyword status,Level,Campaign,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,algarve experience day,Exact match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,best algarve experience,Exact match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,algarve experience guide,Exact match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,algarve discovery card,Exact match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,algarve discovery pass,Exact match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,algarve discovery walks,Exact match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,algarve discovery trip,Exact match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,is it worth,Phrase match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,review,Broad match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,reviews,Broad match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,vs,Phrase match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,versus,Phrase match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,careers,Broad match
Negative keyword,Add,Enabled,Campaign,BRAND — Competitors,jobs,Broad match
