Row Type,Action,Keyword status,Level,Campaign,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,shared,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,group,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,group tour,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,join a group,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,per person,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,per pax,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,benagil cave tour,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,benagil tour,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,fishing,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,kayak,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,sup,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,stand up paddle,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,swim,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,sailing course,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,sailing school,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,license,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,licence,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,yacht club,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,yacht week,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,how to buy,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,for sale,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,used yacht,Phrase match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,classified,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,catamaran,Broad match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,catamaran charter algarve,Exact match
Negative keyword,Add,Enabled,Campaign,NB — Cranchi Yacht,catamaran tour algarve,Exact match
