Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,reef fishing algarve,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,reef fishing portimão,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,reef fishing portimao,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,reef fishing tour algarve,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,reef fishing tour portimão,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing tour algarve,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing tour portimão,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing tour portimao,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing trip algarve,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing trip portimão,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing trip portimao,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing boat algarve,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing boat portimão,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,boat fishing algarve,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,boat fishing portimão,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,algarve fishing tour,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,algarve fishing trip,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,algarve fishing charter,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing charter algarve,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing charter portimão,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,half day fishing algarve,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,half day fishing portimão,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,family fishing algarve,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,family fishing portimão,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing experience algarve,Exact match
Keyword,Add,Enabled,NB — Reef Fishing,FISHING — EN,fishing tour algarve,Phrase match
